1231, simply cos he had no faithchose to take the life than the cause of anotherperhaps there cud be dumsor or doctors on strike,joy,negative,,,,,,,,,,,,
1379,worst sleep ive had in years mosquitoes and dumsor dont make a good combination<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E65>,joy,negative,,,,,,,,,,,,
1429, cant catch my favourite ksm show all because of dumsor hey but no fears wuld watch the repeat show sund…,joy,negative,,,,,,,,,,,,
1432, cant catch my favourite ksm show all because of dumsor hey but no fears wuld watch the repeat show sunday afternoon at pm,joy,negative,,,,,,,,,,,,
1482, we can be ambassadors when the economy is good without dumsor so the call is a bit premature  lets revisit in ,joy,negative,,,,,,,,,,,,
1483," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1504,good job newly wed expectant father dumsor police no pick im more sick  i can only imagine e dey pain me sef,joy,negative,,,,,,,,,,,,
1509," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1516," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1517," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
1560,the ghana employers’ associations has confirmed that close to  workers have been sacked in the last four ,joy,negative,,,,,,,,,,,,
1775,tnks  dumsor i ve  walk  a restaurant anytym am in town jux to charge my fon its nt lyk am fytin  wifi bt electricitywat a shame gh,joy,negative,,,,,,,,,,,,
1918,the ghana employers’ associations has confirmed that close to  workers have been sacked in the last four ,joy,negative,,,,,,,,,,,,
1944," boss  be like we get too moch light new dumsor timetable go need
 a c c r a g h a n a …",joy,negative,,,,,,,,,,,,
32,enaaa eeerh i dey verse selfwatin dey worry ona self y ona no wan make we enjoy dis light self dumsor,joy,neutral,,,,,,,,,,,,
45, sake of dumsor wont get access to ur interactive studio analysispls when can i catch d repeat,joy,neutral,,,,,,,,,,,,
161, you must visit our diy section for your own good youll find our dumsor survival kit n more u noe u need it  http…,joy,neutral,,,,,,,,,,,,
167, you must visit our diy section for your own good youll find our dumsor survival kit n more u noe u need it  http…,joy,neutral,,,,,,,,,,,,
